Pertanyaan,Pilihan Ganda,Jawaban
"Menurut definisi, apa saja yang termasuk dalam supply chain? (Bab 1)","a. Hanya proses manufaktur dan distribusi produk akhir.
b. Semua tahapan yang terlibat secara langsung atau tidak langsung dalam memenuhi kebutuhan pelanggan.
c. Aktivitas pemasaran, penjualan, dan layanan pelanggan saja.
d. Proses internal perusahaan untuk pengembangan produk.
e. Aliran informasi dan keuangan, tidak termasuk aliran produk fisik.",b
"Apa tujuan utama dari Supply Chain Management (SCM)? (Bab 1)","a. Meminimalkan biaya pada setiap tahap individu dalam rantai pasok.
b. Memaksimalkan profitabilitas pada tahap manufaktur saja.
c. Memaksimalkan total profitabilitas keseluruhan rantai pasok.
d. Mempercepat pengiriman produk tanpa mempertimbangkan biaya.
e. Mengelola aliran produk saja, mengabaikan informasi dan keuangan.",c
"Bagaimana 'supply chain value' didefinisikan? (Bab 1)","a. Total pendapatan yang diterima dari pelanggan.
b. Perbedaan antara total pendapatan dan biaya pada satu perusahaan.
c. Jumlah semua biaya yang dikeluarkan oleh rantai pasok.
d. Perbedaan antara manfaat produk akhir bagi pelanggan dan total upaya yang dikeluarkan rantai pasok untuk memenuhinya.
e. Harga jual produk akhir di pasar.",d
"Keberhasilan sebuah supply chain idealnya diukur berdasarkan apa? (Bab 1)","a. Profitabilitas individu dari perusahaan manufaktur.
b. Kecepatan pengiriman ke distributor.
c. Total profitabilitas yang dibagi ke seluruh tahapan rantai pasok.
d. Tingkat kepuasan pemasok.
e. Biaya logistik yang paling rendah.",c
"Manakah pernyataan yang paling tepat membedakan antara Logistik dan Supply Chain? (Bab 1)","a. Logistik adalah konsep yang lebih luas daripada supply chain.
b. Logistik hanya melibatkan satu organisasi, sedangkan supply chain melibatkan kolaborasi beberapa organisasi.
c. Supply chain adalah bagian dari logistik.
d. Logistik hanya berfokus pada aliran informasi, sedangkan supply chain pada aliran produk.
e. Tidak ada perbedaan antara logistik dan supply chain.",b
"Aktivitas seperti warehousing, packaging, dan stock control merupakan bagian dari? (Bab 1)","a. Supply Chain Management
b. Customer Relationship Management
c. Logistik
d. Product Development
e. Supplier Relationship Management",c
"Manakah yang termasuk dalam fase keputusan 'Supply Chain Strategy/Design'? (Bab 1)","a. Mengalokasikan pesanan individual pelanggan ke jadwal produksi harian.
b. Menentukan lokasi dan kapasitas fasilitas produksi dan gudang.
c. Membuat peramalan permintaan untuk kuartal mendatang.
d. Menjadwalkan pengiriman mingguan ke retailer.
e. Mengatur urutan pekerjaan perakitan di lantai produksi.",b
"Keputusan dalam fase 'Supply Chain Strategy/Design' memiliki karakteristik... (Bab 1)","a. Bersifat jangka pendek dan mudah diubah.
b. Memiliki horizon waktu mingguan atau harian.
c. Bersifat jangka panjang dan mahal untuk diubah.
d. Fokus pada pesanan individual pelanggan.
e. Memiliki tingkat ketidakpastian yang sangat rendah.",c
"Fase 'Supply Chain Planning' diawali dengan kegiatan apa? (Bab 1)","a. Menerima pesanan dari pelanggan.
b. Memilih lokasi pabrik baru.
c. Peramalan permintaan untuk periode mendatang (misalnya, tahunan).
d. Menjadwalkan pengiriman harian.
e. Memilih moda transportasi untuk jangka panjang.",c
"Mengalokasikan pesanan ke dalam persediaan atau produksi dan mengatur jadwal pengiriman adalah contoh keputusan pada fase? (Bab 1)","a. Supply Chain Strategy/Design
b. Supply Chain Planning
c. Supply Chain Operation
d. Product Development
e. Supplier Selection",c
