Pertanyaan,Pilihan Ganda,Jawaban
"Perusahaan Xiaomi baru saja meluncurkan smartwatch murah dengan harga di bawah rata-rata pasar. Hal yang menarik, margin keuntungan smartwatch ini sangat kecil hingga mendekati titik impas. Namun, perusahaan tetap meluncurkan karena riset menunjukan bahwa penggunaka smartwatch cenderung membeli smartphone premiun di perusahaan tersebut yang kompatibel penuh dengan perangkat. Perusahaan berharap dengan strategi ini dapat memperluas basis pengguna dan mendorong penjualan produk premium mereka yang margin keuntungannya tinggi. Strategi yang dilakukan perusahaan tersebut dengan meluncurkan smartwatch murah mencerminkan pemanfaatan nilai strategi berupa?","A. Scale value
B. Comminication value
C. Product-line value
D. Infromation value
E. Monetary value",c
"Berdasarkan prinsip segmentasi Mutually Exclusive, Collectively Exchaustive, apa arti dari ""mutually exclusive""?","A. Semua segmen memiliki ukuran yang sama agar pembagian pasar adil
B. Segmen harus berbeda satu sama lain tanpa ada tumpang tindih antar anggota
C. Segmen boleh tumpang tindih selama target pasarnya cukup luas
D. Semua pelanggan harus diperlakukan sama dalam setiap segmen
E. Segmentasi hanya boleh dilakukan dengan dasar demografi",b
"Jika sebuah perusahaan terlalu fokus meniru kompetitor tanpa memperhatikan kebutuhan pelanggan, hasil yang terjadi adalah?","A. Blue Ocean Strategy
B. Cannivalization Strategy
C. Market Penetration Strategy
D. Competitive Wasteland
E. Niche Strategy",d
"Dalam menentukan strategic targeting, pertanyaan kunci yang harus dijawab oleh seorang manajer adalah?","A. Apakah perusahaan mampu menciptakan superior value dan apakah pelanggan mampu menciptakan value bagi perusahaan?
B. Apakah produk dapat diproduksi massal dan murah?
C. Apakah pelanggan dapat dengan mudah diidentifikasi secara usia dan lokasi?
D. Apakah pesaing memiliki strategi komunikasi yang sama?
E. Apakah biaya produksi dapat ditekan seminimal mungkin?",a
Apa perbedaan utama antara strategic targeting dan tactical targeting?,"A. Strategic targeting berfokus pada profil pelanggan sedangkan tactical targeting berfokus pada nilai pelanggan
B. Kedua hanya berbeda pada biaya implementasi
C. Tactical targeting lebih penting dibandingkan strategic targeting
D. Strategic targeting hanya digunakan untuk produk baru
E. Strategic targeting berfokus pada kebutuhan dan nilai pelanggan, sedangkan tactical targeting berfokus pada cara menjangkau mereka secara efisien",e
"Dalam konteks penargetan taktis (tactical targeting), apa perbedaan utama antara penargetan terlalu luas (shotgun targeting), penargetan terlalu sempit (over-segmentation), dan penargetan yang menyimpang (misaligned targeting)?","A. Shotgun targeting berarti semua pelanggan dianggap sama; over-segmentation terlalu luas; misaligned targeting selalu tepat sasaran.
B. Shotgun targeting mencakup terlalu banyak pelanggan non-relevan, over-segmentation terlalu membatasi pasar potensial, dan misaligned targeting tidak sesuai sama sekali dengan target ideal.
C. Shotgun targeting hanya fokus pada satu segmen, over-segmentation fokus pada banyak segmen, dan misaligned targeting pada segmen yang benar.
D. Shotgun targeting adalah strategi massal, over-segmentation strategi efisien, dan misaligned targeting strategi adaptif.
E. Shotgun targeting menurunkan biaya promosi, over-segmentation meningkatkan pelanggan potensial, misaligned targeting meningkatkan kepuasan pelanggan.",b
Faktor utama dalam menentukan profil pelanggan dalam penargetan taktis adalah,"A. Faktor geografis dan psikologis
B. Faktor demografis dan perilaku
C. Faktor harga dan distribusi
D. Faktor promosi dan komunikasi
E. Faktor emosional dan sosial",b
"Kasus:
Sebuah perusahaan kartu kredit meluncurkan program loyalitas berupa hadiah perjalanan. Secara strategis, pelanggan bernilai adalah mereka yang rutin menggunakan kartu kredit. Namun, tidak semua pengguna kartu dapat diidentifikasi dengan mudah. Perusahaan akhirnya menggunakan profil demografis (usia, pekerjaan, lokasi) dan perilaku (riwayat transaksi, kebiasaan bepergian) untuk menentukan target.

Pertanyaan:
Pendekatan ini mencerminkan penerapan konsep","A. Penargetan massal
B. Penargetan strategis
C. Penargetan taktis
D. Over-segmentation
E. Misaligned targeting",c
Keuntungan utama dari strategi menargetkan beberapa segmen (multiple targeting) dibanding penargetan massal adalah,"A. Biaya promosi lebih murah
B. Setiap segmen mendapat penawaran yang lebih sesuai dengan kebutuhan spesifik mereka
C. Risiko kehilangan pelanggan lebih besar
D. Komunikasi pemasaran lebih sederhana
E. Tidak perlu mengembangkan lini produk baru",b
Mengapa penargetan taktis (tactical targeting) dianggap sebagai pelengkap dari penargetan strategis (strategic targeting) dalam pemasaran?,"A. Karena tactical targeting menggantikan strategic targeting secara penuh.
B. Karena strategic targeting fokus pada nilai pelanggan, sementara tactical targeting menghubungkan nilai tersebut dengan profil yang dapat diamati (demografis & perilaku).
C. Karena tactical targeting lebih murah dibandingkan strategic targeting.
D. Karena strategic targeting tidak mempertimbangkan kebutuhan pelanggan.
E. Karena tactical targeting lebih menekankan pada perluasan pasar tanpa fokus pada pelanggan tertentu.",b
